Venue,Title,Authors,Semantic Scholar URL
ACML,RICAP: Random Image Cropping and Patching Data Augmentation for Deep CNNs,"Ryo Takahashi
Takashi Matsubara
K. Uehara",https://www.semanticscholar.org/paper/043d1f7b26d0aa723bf2d63eb277d2b8be19bec0
ArXiv,Data Augmentation Using Adversarial Training for Construction-Equipment Classification,"Francis Baek
Somin Park
H. Kim",https://www.semanticscholar.org/paper/2d15c79143de39a27651c963c4d276ad551e23ec
ArXiv,Data Augmentation with Manifold Exploring Geometric Transformations for Increased Performance and Robustness,"Magdalini Paschali
W. Simson
Abhijit Guha Roy
M. Naeem
R. Göbl
C. Wachinger
Nassir Navab",https://www.semanticscholar.org/paper/362758f77d607aae1aac5c541aa2663822f6302b
ArXiv,Unsupervised Data Augmentation,"Qizhe Xie
Zihang Dai
E. Hovy
Minh-Thang Luong
Quoc V. Le",https://www.semanticscholar.org/paper/3562fefb64cd63ac1a6a0adbaa83ae73dd674243
ArXiv,Improving Robustness Without Sacrificing Accuracy with Patch Gaussian Augmentation,"Raphael Gontijo Lopes
Dong Yin
Ben Poole
J. Gilmer
E. Cubuk",https://www.semanticscholar.org/paper/c703618d1f97a2d2184a09bbd73520034a19ef56
ArXiv,Implicit Label Augmentation on Partially Annotated Clips via Temporally-Adaptive Features Learning,"Y. Lu
Ziyao Tang
T. Javidi",https://www.semanticscholar.org/paper/0d15426e19c3fdfe795271311f6aabd914d25870
ArXiv,ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring,"David Berthelot
N. Carlini
E. D. Cubuk
Alex Kurakin
Kihyuk Sohn
Han Zhang
Colin Raffel",https://www.semanticscholar.org/paper/ab793ace386f381ba3a34722448ad9e1f28c0146
ArXiv,Learning Optimal Data Augmentation Policies via Bayesian Optimization for Image Classification Tasks,"Chunxu Zhang
Jiaxu Cui
B. Yang",https://www.semanticscholar.org/paper/9faeed748cd76a4952b494af6abc23e1349ed10a
ArXiv,Data Augmentation for Deep Transfer Learning,"Cameron R. Wolfe
Keld T. Lundgaard",https://www.semanticscholar.org/paper/8ff3f7f3b27415672bc8363b69ce79a6f1dc5015
ArXiv,Augmented Parallel-Pyramid Net for Attention Guided Pose-Estimation,"Luanxuan Hou
Jie Cao
Y. Zhao
H. Shen
Y. Meng
R. He
Jie-ping Ye",https://www.semanticscholar.org/paper/085f0e0dac18d8274a7067c817bf97a06cd3d44b
ArXiv,BERT for Large-scale Video Segment Classification with Test-time Augmentation,"Tianqi Liu
Qizhan Shao",https://www.semanticscholar.org/paper/7706ed62e51487ee1fab56f932f5274bdeaea171
ArXiv,See Better Before Looking Closer: Weakly Supervised Data Augmentation Network for Fine-Grained Visual Classification,"T. Hu
H. Qi",https://www.semanticscholar.org/paper/a21d8d27caca866d8f107116a2c90a2ed24b0b7a
ArXiv,PanDA: Panoptic Data Augmentation,"Y. Liu
P. Perona
Markus Meister",https://www.semanticscholar.org/paper/55fc3c695fad7b38dc0cc7a28b5c922aa8bd082b
ArXiv,CoDA: Contrast-enhanced and Diversity-promoting Data Augmentation for Natural Language Understanding,"Yanru Qu
Dinghan Shen
Y. Shen
Sandra Sajeev
Jiawei Han
W. Chen",https://www.semanticscholar.org/paper/77f08ec1fc1a26d5e2c493be06a305d1480ad1c0
ArXiv,Augment your batch: better training with larger batches,"E. Hoffer
Tal Ben-Nun
Itay Hubara
Niv Giladi
Torsten Hoefler
Daniel Soudry",https://www.semanticscholar.org/paper/3ffb075c74196efbcfc1a2d950fa8ef5d99c6095
ArXiv,Regularizing Deep Networks with Semantic Data Augmentation,"Yulin Wang
Gao Huang
Shiji Song
Xuran Pan
Yitong Xia
C. Wu",https://www.semanticscholar.org/paper/e89c69f3e6282c48b71c92851501aa66bff1d02f
ArXiv,Automatic Data Augmentation by Learning the Deterministic Policy,"Y. Shi
Tiexin Qin
Y. Liu
Jiwen Lu
Y. Gao
D. Shen",https://www.semanticscholar.org/paper/5311c49db20ebefa64ddadc80bb6757b6eee114a
ArXiv,"Assume, Augment and Learn: Unsupervised Few-Shot Meta-Learning via Random Labels and Data Augmentation","A. Antoniou
A. Storkey",https://www.semanticscholar.org/paper/73687a6297eae593f6abf1038d276a4cfa6fb3af
ArXiv,Ensemble learning in CNN augmented with fully connected subnetworks,"Daiki Hirata
N. Takahashi",https://www.semanticscholar.org/paper/5c0816bce56fce7cf9e6fd87170e0fc76cea9e50
ArXiv,Discriminative Cross-Modal Data Augmentation for Medical Imaging Applications,"Yue Yang
Pengtao Xie",https://www.semanticscholar.org/paper/121c642c21903e334485f60a8ffcea5500532acf
ArXiv,Affinity and Diversity: Quantifying Mechanisms of Data Augmentation,"Raphael Gontijo Lopes
S. J. Smullin
E. D. Cubuk
Ethan Dyer",https://www.semanticscholar.org/paper/6d352d5be78df3246d2f70146625db6d56b9c719
ArXiv,Safe Augmentation: Learning Task-Specific Transformations from Data,"Irynei Baran
Orest Kupyn
A. Kravchenko",https://www.semanticscholar.org/paper/4154224d01c21c7af9b78249c6ed5b5e507be083
ArXiv,Learning data augmentation policies using augmented random search,"Mingyang Geng
Kele Xu
B. Ding
H. Wang
L. Zhang",https://www.semanticscholar.org/paper/64e03171b3ff914bdc984a01b2f72116a030e6b2
ArXiv,Gradient-based Data Augmentation for Semi-Supervised Learning,Hiroshi Kaizuka,https://www.semanticscholar.org/paper/f473a9428ec8c1714221cc3d271125c416b7db1e
ArXiv,Patch augmentation: Towards efficient decision boundaries for neural networks,"Marcus Bloice
P. Roth
A. Holzinger",https://www.semanticscholar.org/paper/fd51d8218136c30610278fe064d2e3cf395cad6a
ArXiv,Data Augmentation for Meta-Learning,"Renkun Ni
Micah Goldblum
Amr Sharaf
K. Kong
T. Goldstein",https://www.semanticscholar.org/paper/ec995e79f153cf8f5c239676dfb6766f6da57e07
ArXiv,Meta Approach to Data Augmentation Optimization,"Ryuichiro Hataya
J. Zdenek
Kazuki Yoshizoe
Hideki Nakayama",https://www.semanticscholar.org/paper/e815552bc57f6cd1673039758a6d09870a6e6acb
ArXiv,Data Augmentation for Skin Lesion using Self-Attention based Progressive Generative Adversarial Network,"Ibrahim Saad Ali
Mamdouh Farouk Mohamed
Y. B. Mahdy",https://www.semanticscholar.org/paper/6342cd9e307808db147bc14b1c15500dcd601794
ArXiv,Domain Adaptive Transfer Learning on Visual Attention Aware Data Augmentation for Fine-grained Visual Categorization,"Ashiq Imran
V. Athitsos",https://www.semanticscholar.org/paper/0db9cd6929c9c4a0e7f89f3251ab288861c5e5b3
ArXiv,Differentiable Augmentation for Data-Efficient GAN Training,"Shengyu Zhao
Zhijian Liu
J. Lin
Jun-Yan Zhu
S. Han",https://www.semanticscholar.org/paper/670f9d0d8cafaeaeea564c88645b9816b1146cef
ArXiv,Role-Wise Data Augmentation for Knowledge Distillation,"Jie Fu
X. Geng
Zhijian Duan
Bohan Zhuang
Xingdi Yuan
Adam Trischler
J. Lin
C. Pal
H. Dong",https://www.semanticscholar.org/paper/75af404d6e4279541aafb8d5b330c44039bd437d
ArXiv,RandAugment: Practical data augmentation with no separate search,"E. Cubuk
Barret Zoph
Jonathon Shlens
Quoc V. Le",https://www.semanticscholar.org/paper/dfa553707b215910f028d2a58ab79116626cc94a
ArXiv,FeatMatch: Feature-Based Augmentation for Semi-Supervised Learning,"Chia-Wen Kuo
Chih-Yao Ma
J. Huang
Z. Kira",https://www.semanticscholar.org/paper/3b4fd630260685b500c50e40fd801b6689dca570
ArXiv,Rethinking Data Augmentation: Self-Supervision and Self-Distillation,"Hankook Lee
Sung Ju Hwang
Jinwoo Shin",https://www.semanticscholar.org/paper/65e382449553597ae398f8ac83a235dd377f11c5
ArXiv,What is the best data augmentation approach for brain tumor segmentation using 3D U-Net?,"M. D. Cirillo
David Abramian
Anders Eklund",https://www.semanticscholar.org/paper/e1cf8a5bfaa7ff2c12db70eada78dbc0d6f09635
ArXiv,GridMask Data Augmentation,"Pengguang Chen
Shu Liu
Hengshuang Zhao
Jiaya Jia",https://www.semanticscholar.org/paper/41574aaa671aa55ad8ac15eb7b21c0b17bfca49a
ArXiv,On Feature Normalization and Data Augmentation,"Bo-Yi Li
Felix Wu
Ser-Nam Lim
Serge J. Belongie
Kilian Q. Weinberger",https://www.semanticscholar.org/paper/46803220e5f6b636b65ef0ff87c0c9c4b95dec31
ArXiv,The MIDI Degradation Toolkit: Symbolic Music Augmentation and Correction,"A. McLeod
J. Owers
K. Yoshii",https://www.semanticscholar.org/paper/1fc028e051d6cf0694428c0d2b9e60fee35c7aca
ArXiv,The Penalty Imposed by Ablated Data Augmentation,"Frederick Liu
A. Najmi
M. Sundararajan",https://www.semanticscholar.org/paper/8525b53e30f560d96f12cdd5eab8d250a311c842
ArXiv,LADA: Look-Ahead Data Acquisition via Augmentation for Active Learning,"Yoonyeong Kim
Kyungwoo Song
Joonho Jang
I. Moon",https://www.semanticscholar.org/paper/09a5c49bb01a35f5223e7885e4e67d80ada449fb
ArXiv,Augmented Hard Example Mining for Generalizable Person Re-Identification,"M. Tamura
T. Murakami",https://www.semanticscholar.org/paper/5258df049df03bdd38f01609fa351f1bd9f3e493
ArXiv,Data Augmentation via Structured Adversarial Perturbations,"Calvin Luo
H. Mobahi
S. Bengio",https://www.semanticscholar.org/paper/fdfff86c209ca29dd03282b659779b09fe93de8b
ArXiv,Data augmentation with Möbius transformations,"Sharon Zhou
Jiequan Zhang
Hang Jiang
T. Lundh
A. Ng",https://www.semanticscholar.org/paper/c5a0a9cabaf1ea78e9bb46436df093789564582b
ArXiv,Self-paced Data Augmentation for Training Neural Networks,"Tomoumi Takase
Ryo Karakida
H. Asoh",https://www.semanticscholar.org/paper/9fe413fe97d365aa12dcea74a78648c659ce8497
ArXiv,Do CNNs Encode Data Augmentations?,"E. Yan
Y. Huang",https://www.semanticscholar.org/paper/37ac1cc8caedefd838fcb746143a035697e0c68a
ArXiv,SuperMix: Supervising the Mixing Data Augmentation,"Ali Dabouei
Sobhan Soleymani
F. Taherkhani
N. M. Nasrabadi",https://www.semanticscholar.org/paper/94f82ec208c5546258721f90cd1b4f73c968dad4
ArXiv,Model Patching: Closing the Subgroup Performance Gap with Data Augmentation,"Karan Goel
A. Gu
Yixuan Li
C. Ré",https://www.semanticscholar.org/paper/9207480a5cd071a3e85f408082b09283413cbfa5
ArXiv,Learning Data Augmentation with Online Bilevel Optimization for Image Classification,"Saypraseuth Mounsaveng
Issam H. Laradji
I. B. Ayed
D. Vázquez
M. Pedersoli",https://www.semanticscholar.org/paper/24a9f70e21fc2f84834dccdb1e2d7dfc1a25d9b3
ArXiv,MA 3 : Model Agnostic Adversarial Augmentation for Few Shot learning,"R. Jena
Shirsendu Sukanta Halder
K. Sycara",https://www.semanticscholar.org/paper/afbcec0862d73d8081b11ecd2bf49ae9e78c67fa
ArXiv,Time Series Data Augmentation for Deep Learning: A Survey,"Q. Wen
Liang Sun
Xiaomin Song
J. Gao
X. Wang
Huan Xu",https://www.semanticscholar.org/paper/58b681eca93a2bdb5837331fe7526fc5814e1b6b
ArXiv,UniformAugment: A Search-free Probabilistic Data Augmentation Approach,"Tom Ching LingChen
Ava Khonsari
Amirreza Lashkari
M. Nazari
Jaspreet Singh Sambee
M. Nascimento",https://www.semanticscholar.org/paper/cdfbd6449d4b39b5c7eb73c7bad9487d394bdf22
ArXiv,Attribute Mix: Semantic Data Augmentation for Fine Grained Recognition,"H. Li
Xiaopeng Zhang
Hongkai Xiong
Q. Tian",https://www.semanticscholar.org/paper/0abb3217914f57b5936d31f21dd5c600cf68dd3e
ArXiv,Does Data Augmentation Benefit from Split BatchNorms,"Amil Merchant
Barret Zoph
E. D. Cubuk",https://www.semanticscholar.org/paper/eeb005fd27693559bdea10b9fa133081d2e03a6b
ArXiv,WeMix: How to Better Utilize Data Augmentation,"Yi Xu
Asaf Noy
M. Lin
Qi Qian
Hao Li
R. Jin",https://www.semanticscholar.org/paper/82a8b506789a6a9c0869e5235011920f88f2e712
ArXiv,Data Augmentation for Graph Neural Networks,"Tong Zhao
Y. Liu
Leonardo Neves
Oliver J. Woodford
Meng Jiang
Neil Shah",https://www.semanticscholar.org/paper/7ed782385594c5233452cba9be211c2298f465eb
ArXiv,SapAugment: Learning A Sample Adaptive Policy for Data Augmentation,"Ting-yao Hu
Ashish Shrivastava
R. Chang
H. Koppula
Stefan Braun
Kyuyeon Hwang
Ozlem Kalini
Oncel Tuzel",https://www.semanticscholar.org/paper/f234c93f4a1a13a848dccd682086e4af9afe40d7
ArXiv,Hypernetwork-Based Augmentation,"Chih-Yang Chen
Che-Han Chang
E. Chang",https://www.semanticscholar.org/paper/cc3a8747409cdbc62569e9c50f630cc61ef979b6
ArXiv,AAG: Self-Supervised Representation Learning by Auxiliary Augmentation with GNT-Xent Loss,"Yanlun Tu
Jianxing Feng
Yang Yang",https://www.semanticscholar.org/paper/5baf1bae22dfd51055e29259b0d746e73b25b643
ArXiv,Population Based Training for Data Augmentation and Regularization in Speech Recognition,"Daniel Haziza
J. Rapin
Gabriel Synnaeve",https://www.semanticscholar.org/paper/c9bc058a7048b90c85f9eebdaad460afa7c349f0
ArXiv,Circumventing Outliers of AutoAugment with Knowledge Distillation,"Longhui Wei
An Xiao
Lingxi Xie
X. Chen
Xiaopeng Zhang
Q. Tian",https://www.semanticscholar.org/paper/b3e5bac38d098378ba24f826595b8ea877e342f6
